"GradeID","Title","Code","SpineMin","SpineMax"
"1","Intern","ITN","1","3"
"2","Admin Assistant","ADMIN","2","6"
"3","Admin Supervisor","ADMSUP","5","11"
"4","Admin Office Manager","ADMMGR","10","15"
"5","Receptionist","RECEP","3","8"
"6","Security","SEC","4","9"
"7","Security Team Leader","SECTL","6","10"
"8","Widget Maker","WIDGET","6","15"
"9","Senior Engineer","SNRENG","10","20"
"10","Production Manager","PRODMGR","11","21"
"11","Senior Manager","SNRMGR","15","30"
"12","Director","DIR","12","30"
