Title,Timing,Accuracy,TP,FP,TN,FN,Recall,Precision,Specificity,F_Measure,FalseAlarmRate,RocCurveArea
 , , , , , , , , , , , , 
KNN training,3.2111194,,,,,,,,,,,
 ,,,,,,,,,,,,
KNN test dataset,0.2903399,0.666666667,130,10,30,70,0.65,0.928571429,0.75,0.764705882,0.25,
 ,,,,,,,,,,,,
KNN supplied images,4.9156314,0.857142857,6,0,0,1,0.857142857,1,NaN,0.923076923,NaN,
 ,,,,,,,,,,,,
KNN single scale sliding 1,0.3083639,0.991111111,6,1,217,1,0.857142857,0.857142857,0.995412844,0.857142857,0.004587156,
 ,,,,,,,,,,,,
KNN single scale sliding 2,0.3610172,0.992424242,14,1,248,1,0.933333333,0.933333333,0.995983936,0.933333333,0.004016064,
 ,,,,,,,,,,,,
KNN single scale sliding 3,0.5962711,0.976842105,8,11,456,0,1,0.421052632,0.976445396,0.592592593,0.023554604,
 ,,,,,,,,,,,,
KNN single scale sliding 4,3.5093356,0.9840625,42,37,3107,13,0.763636364,0.53164557,0.988231552,0.626865672,0.011768448,
 ,,,,,,,,,,,,
KNN multi scale sliding 15 SW scales,1.1497584,0.998222222,6,1,1117,0,1,0.857142857,0.999105546,0.923076923,0.000894454,
 ,,,,,,,,,,,,
KNN multi scale sliding 25 SW scales,2.0039137,0.995454545,10,1,1304,3,0.769230769,0.909090909,0.999233716,0.833333333,0.000766284,
 ,,,,,,,,,,,,
KNN multi scale sliding 35 SW scales,3.8548775,0.996210526,8,9,2358,0,1,0.470588235,0.996197719,0.64,0.003802281,
 ,,,,,,,,,,,,
KNN multi scale sliding 45 SW scales,26.106063,0.9974375,46,31,15913,5,0.901960784,0.597402597,0.998055695,0.71875,0.001944305,
 ,,,,,,,,,,,,
 , , , , , , , , , , , , 
 ,,,,,,,,,,,,
KNN training,3.2273664,,,,,,,,,,,
 ,,,,,,,,,,,,
KNN test dataset,0.3081786,0.666666667,130,10,30,70,0.65,0.928571429,0.75,0.764705882,0.25,
 ,,,,,,,,,,,,
KNN supplied images,4.8964417,0.857142857,6,0,0,1,0.857142857,1,NaN,0.923076923,NaN,
 ,,,,,,,,,,,,
KNN single scale sliding 1intersection threshold = 0.1,0.3038389,0.982222222,3,0,218,2,0.6,1,1,0.75,0,
 ,,,,,,,,,,,,
KNN single scale sliding 2intersection threshold = 0.1,0.3644099,0.981060606,10,0,249,4,0.714285714,1,1,0.833333333,0,
 ,,,,,,,,,,,,
KNN single scale sliding 3intersection threshold = 0.1,0.6031338,0.981052632,4,5,462,4,0.5,0.444444444,0.989293362,0.470588235,0.010706638,
 ,,,,,,,,,,,,
KNN single scale sliding 4intersection threshold = 0.1,3.5717884,0.98625,39,27,3117,16,0.709090909,0.590909091,0.991412214,0.644628099,0.008587786,
 ,,,,,,,,,,,,
KNN multi scale sliding 1intersection threshold = 0.1,1.2821561,0.997333333,4,0,1118,0,1,1,1,1,0,
 ,,,,,,,,,,,,
KNN multi scale sliding 2intersection threshold = 0.1,2.2924495,0.992424242,5,0,1305,8,0.384615385,1,1,0.555555556,0,
 ,,,,,,,,,,,,
KNN multi scale sliding 3intersection threshold = 0.1,4.6096374,0.996631579,3,3,2364,5,0.375,0.5,0.998732573,0.428571429,0.001267427,
 ,,,,,,,,,,,,
KNN multi scale sliding 4intersection threshold = 0.1,27.1144584,0.9973125,32,19,15925,17,0.653061224,0.62745098,0.998808329,0.64,0.001191671,
 ,,,,,,,,,,,,
 , , , , , , , , , , , , 
 ,,,,,,,,,,,,
KNN training,3.2947979,,,,,,,,,,,
 ,,,,,,,,,,,,
KNN test dataset,0.3085808,0.666666667,130,10,30,70,0.65,0.928571429,0.75,0.764705882,0.25,
 ,,,,,,,,,,,,
KNN supplied images,5.0271172,0.857142857,6,0,0,1,0.857142857,1,NaN,0.923076923,NaN,
 ,,,,,,,,,,,,
KNN single scale sliding 1intersection threshold = 0.5,0.3081446,0.977777778,6,4,214,1,0.857142857,0.6,0.981651376,0.705882353,0.018348624,
 ,,,,,,,,,,,,
KNN single scale sliding 2intersection threshold = 0.5,0.3889256,0.954545455,14,11,238,1,0.933333333,0.56,0.955823293,0.7,0.044176707,
 ,,,,,,,,,,,,
KNN single scale sliding 3intersection threshold = 0.5,0.6062545,0.949473684,8,24,443,0,1,0.25,0.948608137,0.4,0.051391863,
 ,,,,,,,,,,,,
KNN single scale sliding 4intersection threshold = 0.5,3.7024267,0.97125,45,81,3063,10,0.818181818,0.357142857,0.974236641,0.497237569,0.025763359,
 ,,,,,,,,,,,,
KNN multi scale sliding 1intersection threshold = 0.5,0.7470507,0.994074074,7,4,664,0,1,0.636363636,0.994011976,0.777777778,0.005988024,
 ,,,,,,,,,,,,
KNN multi scale sliding 2intersection threshold = 0.5,1.0224664,0.991161616,14,6,771,1,0.933333333,0.7,0.992277992,0.8,0.007722008,
 ,,,,,,,,,,,,
KNN multi scale sliding 3intersection threshold = 0.5,2.0700625,0.990175439,8,14,1403,0,1,0.363636364,0.990119972,0.533333333,0.009880028,
 ,,,,,,,,,,,,
KNN multi scale sliding 4intersection threshold = 0.5,13.9620446,0.9909375,49,80,9464,5,0.907407407,0.379844961,0.99161777,0.535519126,0.00838223,
 ,,,,,,,,,,,,
 , , , , , , , , , , , , 
 ,,,,,,,,,,,,
KNN training,3.2569662,,,,,,,,,,,
 ,,,,,,,,,,,,
KNN test dataset,0.2929807,0.666666667,130,10,30,70,0.65,0.928571429,0.75,0.764705882,0.25,
 ,,,,,,,,,,,,
KNN supplied images,4.7873794,0.857142857,6,0,0,1,0.857142857,1,NaN,0.923076923,NaN,
 ,,,,,,,,,,,,
"KNN single scale sliding 1sampling rate = 4,3",0.741036,0.998823529,6,0,843,0,1,1,1,1,0,
 ,,,,,,,,,,,,
"KNN single scale sliding 2sampling rate = 4,3",1.2936474,0.99905303,15,1,1040,0,1,0.9375,0.999039385,0.967741935,0.000960615,
 ,,,,,,,,,,,,
"KNN single scale sliding 3sampling rate = 4,3",2.3678488,0.993157895,8,13,1879,0,1,0.380952381,0.993128964,0.551724138,0.006871036,
 ,,,,,,,,,,,,
"KNN single scale sliding 4sampling rate = 4,3",16.4567141,0.99640625,50,40,12704,4,0.925925926,0.555555556,0.996861268,0.694444444,0.003138732,
 ,,,,,,,,,,,,
"KNN multi scale sliding 1sampling rate = 4,3",2.863553,0.999607843,6,0,2543,0,1,1,1,1,0,
 ,,,,,,,,,,,,
"KNN multi scale sliding 2sampling rate = 4,3",7.2680689,0.998737374,11,0,3153,3,0.785714286,1,1,0.88,0,
 ,,,,,,,,,,,,
"KNN multi scale sliding 3sampling rate = 4,3",23.2690753,0.99877193,6,5,5687,1,0.857142857,0.545454545,0.999121574,0.666666667,0.000878426,
 ,,,,,,,,,,,,
"KNN multi scale sliding 4sampling rate = 4,3",109.5636252,0.998802083,44,34,38310,9,0.830188679,0.564102564,0.99911329,0.671755725,0.00088671,
 ,,,,,,,,,,,,
 , , , , , , , , , , , , 
 ,,,,,,,,,,,,
KNN training,3.3089184,,,,,,,,,,,
 ,,,,,,,,,,,,
KNN test dataset,0.3027546,0.666666667,130,10,30,70,0.65,0.928571429,0.75,0.764705882,0.25,
 ,,,,,,,,,,,,
KNN supplied images,4.8201274,0.857142857,6,0,0,1,0.857142857,1,NaN,0.923076923,NaN,
 ,,,,,,,,,,,,
