Title,Timing,Accuracy,TP,FP,TN,FN,Recall,Precision,Specificity,F_Measure,FalseAlarmRate,RocCurveArea,,,,,,,,,,
 , , , , , , , , , , , , ,,,,,,,,,,
KNN training,3.5382676,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,
KNN test dataset,0.4031455,0.666666667,130,10,30,70,0.65,0.928571429,0.75,0.764705882,0.25,,,,,,,,80,0.333333333333333,,Error
 ,,,,,,,,,,,,,,,,,,160,240,0.666666666666667,,Accuracy
KNN supplied images ,5.7395615,0.857142857,6,0,0,1,0.857142857,1,NaN,0.923076923,NaN,,,,,,,,1,0.142857142857143,,Error
 ,,,,,,,,,,,,,,,,,,6,7,0.857142857142857,,Accuracy
KNN single scale sliding 1,0.5333766,1,7,0,218,1,0.875,1,1,0.933333333,0,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,
KNN single scale sliding 2,0.6504567,1,15,0,249,1,0.9375,1,1,0.967741935,0,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,
KNN single scale sliding 3,0.9020023,0.985263158,10,9,458,0,1,0.526315789,0.980728051,0.689655172,0.019271949,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,
KNN single scale sliding 4,5.1410473,0.9909375,53,26,3118,13,0.803030303,0.670886076,0.99173028,0.731034483,0.00826972,,,,,,,,,,,
 ,1.806720725,0.994050164,21.25,8.75,1010.75,3.75,0.903882576,0.799300466,0.993114583,0.830441231,0.006885417,,,,,,,,12.5,0.0119674485399713,,Error
KNN multi scale sliding 1,0.9656655,1,7,0,668,0,1,1,1,1,0,,,,,,,1032,1044.5,0.988032551460029,,Accuracy
 ,,,,,,,,,,,,,,,,,,,,,,
KNN multi scale sliding 2,1.3834356,0.993686869,10,0,777,5,0.666666667,1,1,0.8,0,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,
KNN multi scale sliding 3,2.9260745,0.994385965,7,7,1410,1,0.875,0.5,0.995059986,0.636363636,0.004940014,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,
KNN multi scale sliding 4,19.0844741,0.996666667,51,27,9517,7,0.879310345,0.653846154,0.997170997,0.75,0.002829003,,,,,,,,,,,
 ,6.089912425,0.996184875,18.75,8.5,3093,3.25,0.855244253,0.788461538,0.998057746,0.796590909,0.001942254,,,,,,,,11.75,0.00376180566672003,,Error
,,,,,,,,,,,,,,,,,,3111.75,3123.5,0.99623819433328,,Accuracy
