Title,Timing,Accuracy,TP,FP,TN,FN,Recall,Precision,Specificity,F_Measure,FalseAlarmRate,RocCurveArea,,,,,,,,,,
 , , , , , , , , , , , , ,,,,,,,,,,
NN training,3.6061688,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,
NN test dataset ,4.4014424,0.575,106,8,32,94,0.53,0.929824561,0.8,0.675159236,0.2,,,,,,,,102,0.425,,Error
 ,,,,,,,,,,,,,,,,,,138,240,0.575,,Accuracy
NN supplied images ,6.1189831,0.428571429,3,0,0,4,0.428571429,1,NaN,0.6,NaN,,,,,,,,4,0.571428571428571,,Error
 ,,,,,,,,,,,,,,,,,,3,7,0.428571428571429,,Accuracy
NN single scale sliding 1,2.2477408,0.428571429,4,0,218,2,0.666666667,1,1,0.8,0,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,
NN single scale sliding 2,3.2436088,0.428571429,14,0,249,1,0.933333333,1,1,0.965517241,0,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,
NN single scale sliding 3,6.7938358,0.428571429,13,8,459,0,1,0.619047619,0.982869379,0.764705882,0.017130621,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,
NN single scale sliding 4,49.3147784,0.428571429,59,26,3118,11,0.842857143,0.694117647,0.99173028,0.761290323,0.00826972,,,,,,,,,,,
 ,15.39999095,0.428571429,22.5,8.5,1011,3.5,0.860714286,0.828291317,0.993649915,0.822878362,0.006350085,,,,,,,,12,0.0114777618364419,,Error
NN multi scale sliding 1,6.410559,0.428571429,7,0,668,0,1,1,1,1,0,,,,,,,1033.5,1045.5,0.988522238163558,,Accuracy
 ,,,,,,,,,,,,,,,,,,,,,,
NN multi scale sliding 2,9.4837246,0.428571429,12,0,777,3,0.8,1,1,0.888888889,0,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,
NN multi scale sliding 3,20.0295945,0.428571429,8,6,1411,2,0.8,0.571428571,0.995765702,0.666666667,0.004234298,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,
NN multi scale sliding 4,152.601824,0.428571429,52,27,9517,10,0.838709677,0.658227848,0.997170997,0.737588652,0.002829003,,,,,,,,,,,
 ,47.13142553,0.428571429,19.75,8.25,3093.25,3.75,0.859677419,0.807414105,0.998234175,0.823286052,0.001765825,,,,,,,,12,0.00384,,Error
,,,,,,,,,,,,,,,,,,3113,3125,0.99616,,Accuracy
