Title,Timing,Accuracy,TP,FP,TN,FN,Recall,Precision,Specificity,F_Measure,FalseAlarmRate,RocCurveArea,,,,,,,,,,
 , , , , , , , , , , , , ,,,,,,,,,,
RF training,3.4574511,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,
RF test dataset,1.1672847,0.745833333,158,19,21,42,0.79,0.892655367,0.525,0.838196286,0.475,0.84025,,,,,,,61,0.254166667,,Error
,,,,,,,,,,,,,,,,,,179,240,0.745833333,,Accuracy
RF supplied images,3.311642,1,7,0,0,0,1,1,NaN,1,NaN,,,,,,,,0,0,,Error
 ,,,,,,,,,,,,,,,,,,7,7,1,,Accuracy
RF CBCL Dataset,0.979738,0.454545,25,0,0,30,0.4545,1,NaN,0.625,NaN,0.7727,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
 RF single scale (average),317.3400179,0.976875,17,17.5,1002,2.5,0.809018419,0.679150579,0.989264231,0.669679496,0.010735769,,,,,,,,20,0.019249278,,Error
,,,,,,,,,,,,,,,,,,1019,1039,0.980750722,,Accuracy
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
 RF multi scale (average),954.0667944,0.993725,18,15.25,3086.25,2,0.814193275,0.625952479,0.996063269,0.690406771,0.003936731,,,,,,,,17.25,0.005526189,,Error
,,,,,,,,,,,,,,,,,,3104.25,3121.5,0.994473811,,Accuracy
