Title,Timing,Accuracy,TP,FP,TN,FN,Recall,Precision,Specificity,F_Measure,FalseAlarmRate,RocCurveArea,,,,,,,,,,
 , , , , , , , , , , , , ,,,,,,,,,,
SVM training ,0.8754623,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,
SVM test dataset ,0.9443457,0.708333333,138,8,32,62,0.69,0.945205479,0.8,0.797687861,0.2,0.7365,,,,,,,70,0.291666666666667,,Error
 ,,,,,,,,,,,,,,,,,,170,240,0.708333333333333,,Accuracy
SVM supplied images ,1.2621925,0.714285714,5,0,0,2,0.714285714,1,NaN,0.833333333,NaN,,,,,,,,2,0.285714285714286,,Error
 ,,,,,,,,,,,,,,,,,,5,7,0.714285714285714,,Accuracy
SVM single scale sliding 1,0.2060512,0.714285714,6,1,217,0,1,0.857142857,0.995412844,0.923076923,0.004587156,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,
SVM single scale sliding 2,0.2418126,0.714285714,11,1,248,3,0.785714286,0.916666667,0.995983936,0.846153846,0.004016064,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,
SVM single scale sliding 3,0.2204758,0.714285714,8,19,448,0,1,0.296296296,0.959314775,0.457142857,0.040685225,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,
SVM single scale sliding 4,0.7317,0.714285714,32,27,3117,21,0.603773585,0.542372881,0.991412214,0.571428571,0.008587786,,,,,,,,,,,
 ,0.3500099,0.714285714,14.25,12,1007.5,6,0.847371968,0.653119675,0.985530942,0.699450549,0.014469058,,,,,,,,18,0.0173118538110123,,Error
SVM multi scale sliding ,0.4841459,0.714285714,4,1,667,1,0.8,0.8,0.998502994,0.8,0.001497006,,,,,,,1021.75,1039.75,0.982688146188988,,Accuracy
 ,,,,,,,,,,,,,,,,,,,,,,
SVM multi scale sliding ,2.1222393,0.714285714,7,2,775,1,0.875,0.777777778,0.997425997,0.823529412,0.002574003,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,
SVM multi scale sliding ,1.4624484,0.714285714,7,10,1407,0,1,0.411764706,0.992942837,0.583333333,0.007057163,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,
SVM multi scale sliding ,5.9638971,0.714285714,39,20,9524,13,0.75,0.661016949,0.997904443,0.702702703,0.002095557,,,,,,,,,,,
 ,2.508182675,0.714285714,14.25,8.25,3093.25,3.75,0.85625,0.662639858,0.996694068,0.727391362,0.003305932,,,,,,,,12,0.00384677031575573,,Error
,,,,,,,,,,,,,,,,,,3107.5,3119.5,0.996153229684244,,Accuracy
